Content,Stars,titre,origine,jour,mois,année,Pays
Produit bien arrivé.Jeu + volant Sera offert  en cadeau .En espérant qu'il fonctionne bien !!,4,MARIO KART 8 DELUXE,AMAZON,9,6,2022,France
"Ce jeu est super fun. C'est un des icônes de Nintendo et reste un réel plaisir a jouer a 1, 2, 3 ou 4 joueurs simultanément. 15 ans plus tard il n'a pas vieilli et on s'amuse toujours autant avec !",5,MARIO KART 8 DELUXE,AMAZON,21,4,2021,France
"Tout bonnement génial ! Mon mari, mon fils et moi-même nous nous éclatons à faire des courses les uns contre les autres. Les commentaires fusent et c'est un moment de plaisir en famille (n'en déplaise à certains qui banissent ce genre de jeux qu'ils trouvent trop addictifs et qui favoriseraient le repli sur soi). Bien sûr, on a envie de se surpasser pour battre les autres, mais c'est bon enfant. Les graphismes sont super bien faits, les personnages assez nombreux pour avoir le choix et les bolides aussi (voitures ET motos). Les courses sont proposées en 50CC, 100CC et 150CC afin de s'améliorer à son rythme. Personnellement, je n'y arrive pas avec le volant. Allez savoir pourquoi ! Mais la wiimote me va très bien. C'est très ressemblant aux circuits de Mario Kart DS. Mais cela ne nous gêne pas. De bons fous rires en perspective !",5,MARIO KART 8 DELUXE,AMAZON,10,10,2010,France
Super jeu,4,MARIO KART 8 DELUXE,AMAZON,14,6,2020,France
Produit impeccable.Bien reçu plus mot du vendeur en cas de problème.,5,MARIO KART 8 DELUXE,AMAZON,14,1,2021,France
Produit très bien emballé et en excellent état. Envoi rapide.Tout était parfait. Rien à dire,5,MARIO KART 8 DELUXE,AMAZON,26,9,2020,France
"Ayant mal regardé l'annonce , il s'avère que le produit correspond parfaitement à l'annonce.C'est pour cela que je remets 5 étoiles.",5,MARIO KART 8 DELUXE,AMAZON,17,4,2020,France
Déçu de ne pas avoir le volant comme indique l annonce mais j en ai eu sur le site sinon pas en ore essayer vu que c est pour noel,4,MARIO KART 8 DELUXE,AMAZON,10,12,2017,France
"Pour mon fils, il en et tres content.",4,MARIO KART 8 DELUXE,AMAZON,14,6,2019,France
"Mes enfants ne se passe plus du jeu ! Il adore les circuits, les voitures et ce sont de supers parties de rigolade. et surtout c'est très simple pour un enfant de 5 ans qui ne sait pas trop lire encore.",4,MARIO KART 8 DELUXE,AMAZON,31,12,2015,France
Produits impeccableN’hésitez pas à commanderLivraison rapide,5,MARIO KART 8 DELUXE,AMAZON,26,10,2020,France
"C'est sûr,Nintendo a encore laissé sa marque(on change pas une équipe qui gagne)!Depuis le premier Jeu sur Super Nintendo,je me régale et celui là!Ben,il est Fluide,c'estle plus beau et surtout Jouable avec une Manette game Cube ou spécial Wii!!!Bon,le principe reste le même,avec quelque nouveautés sympathique dans les Pièges et divers objets explosifs et autre tache d'huile en pleine poire qui ne facilite pas la visibilité à l'écran!?! A jouer à plusieurs de préférence,parce-que tout seul c'est pas aussi MDR...A jouer et rejouer sans modération......",5,MARIO KART 8 DELUXE,AMAZON,8,11,2011,France
Rien à signaler,4,MARIO KART 8 DELUXE,AMAZON,27,7,2019,France
"Juste, ne vous attendez pas à avoir le volant avec, cela dit le prix reste honnête pour ce jeu (je conseille la manette classique avec les joysticks)",5,MARIO KART 8 DELUXE,AMAZON,11,9,2019,France
"Ce jeu est très agréable. Il offre une chance même aux plus nuls d'arriver à une position honorable grâce à des bonus qu'on peut récolter sur le parcours.Ce jeu trouve tout son intérêt lorsqu'on joue à 2, soit ensemble, soit en confrontation.A plus de 2, il devient difficile d'anticiper les prochains obstacles: faisable mais plus dur et avec un graphisme moyen: On voit là les limites de la résolution de la Wii.Je recommande en tout cas vivement ce jeu qui vous apportera de très nombreuses heures de jeu.Mon meilleur jeu après Zelda.",4,MARIO KART 8 DELUXE,AMAZON,3,1,2010,France
"Un jeux parfait pour passer du bon temps en famille. Les courses sont imprévisible, en outre se que je veut dire c'est que même si on est premier, tout peut nous arriver, on peut se retrouver dernier avec tout le pactole de super objets qui nous aide. En plus le mode online ne présente aucun ralentissement, se qui rend le jeux encore plus agréable. En plus succin c'est un excellent jeux de Kart certainement le meilleur depuis sa sorti et il faudra vraiment beaucoup se surpasser pour faire mieux que cela.",5,MARIO KART 8 DELUXE,AMAZON,6,4,2011,France
"Le fun instantané, à la Nintendo. On prend la Wii Wheel dans les mains, on joue et on s'éclate!Le digne descendant de Super Mario Kart. A posséder absolument dans votre ludothèque Wii.J'avais très peur de la conduite à la Wii Wheel, mais force est de constater qu'une fois de plus Nintendo a pondu un accessoire excellent et indispensable...",4,MARIO KART 8 DELUXE,AMAZON,26,12,2012,France
"Tres satisfaite du produit , il est en très bon état de fonctionnement.Le seul soucis c'est la qualité d'image qui est mauvaise.Pour un Mario Kart , la définition et les graphismes sont mauvais, sur ce point je suis très déçue.Malgré ça , ça reste un bon jeux. Très intéressant à plusieurs",4,MARIO KART 8 DELUXE,AMAZON,10,8,2013,France
"Pour être sûre de faire plaisir aux amateurs de jeux vidéos, garçons et filles, les Marios passent partout et le traditionnel Mario kart plait tout autant malgré son ancienneté. amusant, on peut jouer à plusieurs (4 au moins). il y a plusieurs circuits et plusieurs niveau de difficulté. Même sans le volant on s'amuse bien. bon jeu.",4,MARIO KART 8 DELUXE,AMAZON,27,12,2012,France
"Détentrice de Mario Kart sur Wii depuis maintenant 6 ans, je confirme malgré tout ce temps que c'est un jeu indémodable à posséder absolument ! Que ce soit les personnages et les véhicules à débloquer en solo, ou les parties en ligne multijoueurs, ou encore la possibilité de jouer en ligne avec ses amis : c'est tout simplement génial et on ne s'en lasse pas !",5,MARIO KART 8 DELUXE,AMAZON,28,7,2013,France
Excellent,5,MARIO KART 8 DELUXE,AMAZON,27,12,2020,France
"C'est une ""découverte"" pour les enfants et un sacré flashback pour les parents... ;-)Bien sûr, les graphismes ne vaudront pas Grant Turismo mais l'avantage c'est qu'en quelques instants, on comprend les commandes et on peut jouer. De plus le fait de jouer à plusieurs permet des courses effrénées !Évidement, le volant me semble être un accessoire pratiquement indispensable pour tous les joueurs.",5,MARIO KART 8 DELUXE,AMAZON,9,8,2012,France
"les circuits sont très bien, 16 nouveaux et 16 autres tirées des anciens mario de la super nes a la game cube. le jeux prend toute sa dimension a plusieurs car la compétition est beaucoup plus prenante qu'en solo même si les adversaires sont bien coriace.la conduite avec le volant est très facile a prendre en main.le titre est jouable sur internet, mode compétition et mode contre la montre ou il vous faudra battre les fantomes des autres joueurs.le titres reste un must a possédé pour tout detenteur de la console WII.",5,MARIO KART 8 DELUXE,AMAZON,21,9,2009,France
"Toutefois, dans le ""titre-accroche"", il était noté ""+ volant WII"". J'ai donc fait confiance à ce titre, alors que finalement dans les caractéristiques il était noté ""vendu sans volant"". Donc si le jeu est vendu sans volant, pourquoi écrire ""+ volant WII""??Donc déçue...Emballage et délai de livraison bon",3,MARIO KART 8 DELUXE,AMAZON,5,12,2017,France
Cadeau de Noel. La personne qui l'a eu était très contente,5,MARIO KART 8 DELUXE,AMAZON,6,1,2020,France
mario rien a dire ma fille adore plusieurs niveau seule ou avec des copains pour y jouer elle a fini par débloquer des paysages avec des circuits différents elle adore,5,MARIO KART 8 DELUXE,AMAZON,14,12,2017,France
Ha mon grand regret il n'y avait pas de volant. Sinon très bon jeux pour être en famille.,2,MARIO KART 8 DELUXE,AMAZON,29,10,2020,France
"Ce jeu est super et marche parfaitement mais il est livré sans volant (écrit en tout petit sur la référence du vendeur) bien que l'annonce initiale dise: ""jeu + volant""...et le tarif supposerait pourtant que le volant y soit, comme font tous les autres vendeurs de cette même référence.Seul retour du vendeur près réclamation : ""si ça vous convient pas, vous pouvez me le retourner"" mais une fois qu'on l'a offert à un enfant, c'est délicat.Bref, attention à la publicité mensongère.",1,MARIO KART 8 DELUXE,AMAZON,8,8,2020,France
Il était indiqué sur l'annonce que l'on recevait le volant avec le jeu (c'est bien indiqué jeu + volant !!!) mais je n'ai reçu QUE le jeu !!,3,MARIO KART 8 DELUXE,AMAZON,7,9,2018,France
"J'aime y jouer seul ou avec mes amis ! Je préfère l'ambiance de ce jeu qu'à celle d'autre jeux de course plus ""sérieux"" on y joue pour s'amuser et se détendre et pas pour gagner ! Il faut bien tester les véhicules et les personnages pour trouver ceux qui vont le mieux dans notre manière de ""piloter"".",4,MARIO KART 8 DELUXE,AMAZON,8,7,2011,France
"Ca plait toujours autant aux enfants (et aux adultes), ce jeu ne sera jamais passé de mode!!!!Et même les plus petits l'aiment avec l'aide du volant!",5,MARIO KART 8 DELUXE,AMAZON,15,12,2017,France
"super jeu auquel on ne se lasse pas!! beaucoup de circuits disponibles et de personnages. Conduire une moto est aussi nouveau et marrant. Cependant, je regrette qu'il n'y ai pas un mode carrière ou exploration avec des boss à battre et des défis à réaliser et des circuits à débloquer.",4,MARIO KART 8 DELUXE,AMAZON,8,1,2012,France
