review,score,titre,origine,date
"Mon avis sur Animal Crossing New Horizon, une licence Nintendo qui m’était totalement inconnue.Avant tout, le jeu se déroule en temps réel, simule l’alternance jour/nuit et des saisons.——————Cela commence le 20/03, sortie de Doom Ethernal.Sur un coup de tête j'ai mis les voiles pour une ile déserte, perdue dans l’Océan Nintendo.L’aventure commence en compagnie de Tom Nook, l’organisateur du voyage. Comme tout debut de partie, Tom Nook nous apprend a amenager sa maison, prendre en main les activités de l’île, gagner des clochettes, se pignoler dans les arbres, et caetera.Les 3-4 premiers jours, jours en temps réel, le jeu me semblait plutôt avare en contenu. 1h, 2h pour faire le tour des « missions quotidiennes ».Mais bon ce qui est proposé est sympathique et toujours bien amené.Bien, plusieurs jours se sont écoulés, et là Tom Nook me propose de visiter d’autres iles. La bas je rencontre d’autres animaux (PNJ). Mais ces spécimens veulent squatter mon île. Donc, il faut les accueillir, organiser les lieux de vie alors que je voulais juste être peinard moi, et, et en faite ca y est je me suis pris au jeu!Plus objectivement, Animal Crossing est un genre posé. Son style graphique, les musiques, le ton utilisé, le tout est excellent. Nintendo seal of Quality.Même ce que je considérai comme un manque de contenu en début de partie, ce manque, a en faite une utilité dans l’apprentissage et surtout l’appréhension du gameplay: il nous apprend a prendre le temps et a lâcher la console pour profiter de sa vraie vie: comme taffer en home-office et Farmer le ménage a la maison.Wikipédia le désigne comme un simulateur de vie.Mais bref, voici les points forts que je retiens du titre :Animal crossing t’incite avec différentes activités, a revenir tous les jours et a y découvrir de nouvelles choses.Le jeu ne t’oblige pas a Farmer comme un porc pour progresser. La progression se fait jour après jours a ton rythme, sans besoin de score a max. Bien sur il est possible d’accélérer le temps ingame, en configurant la date de la Switch, mais perso je préfère la jouer legit-alacool.Je note que c’est le premier jeu que je trouve bienveillant sur le temps de jeu du joueur. Surtout pour un jeu creatif: Minecraft, NMS, ARK, demandent d’engloutir des heures et des heures pour commencer a se faire plaisir.Enfin, j’insisterai sur ce que j’aime le plus, qui est difficile a expliquer: le temps réel rythme, anime, fait respirer ce petit monde virtuel.Je ne connaissais pas de jeu avec une telle cinquième dimension.Finalement, je le vois comme une série de micro-jeu qui complète un macro-jeu.A voir aussi long terme l’impact des actions sur la faune et flore.",10,ACNH,AMAZON,2022-09-10
"Bonne qualité, jeu évidemment très bien et un rapport qualité prix très intéressant, c'est la plateforme où je pense le jeu était le moins cher.",10,ACNH,AMAZON,2023-02-24
Parfait mes 2 nièces de 8 et 10 ans se sont bien amusée avec.très satisfait de cet achat.,10,ACNH,AMAZON,2023-02-08
Contente de mon achat une petite fille heureuse d'avoir eu son jeux tant désiré 😁,10,ACNH,AMAZON,2023-02-05
Parfait.,10,ACNH,AMAZON,2023-02-15
Produit bien emballé ! Livré rapidementJe recommande,10,ACNH,AMAZON,2023-02-08
Achat fait pour le cadeau de Noël de ma nièces 9 ans. Elle a été trop contente. Il faut passé les niveaux pour avancer dans le jeux. Fourni avec carte.,8,ACNH,AMAZON,2023-01-17
Un jeu adapté à tout les âges. Agréable et facile. Les graphismes sont mignons et il y a des changement au fil des saisons,8,ACNH,AMAZON,2023-01-25
"A 50 ans je joue à ce jeu oui j'avoue. Il est amusant, bien pensé et fait réfléchir un peu sans se prendre la tête. Il sera adapté à toute la famille. Il faut passer du temps pour développer progressivement les fonctionnalités et les personnages. Au début c'est désert et vous campez. Le game play est sympa et le décor tout mignon. Par contre, il faut toujours vendre et acheter, l'argent toujours ce qui tranche avec certains aspects un peu écolo de la gestion des ressources (genre abattre des arbres fait gagner de l'argent, sans blague la déforestation vous guette). Reçu en français comme prévu. Je suis ravie. Livré très rapidement.",10,ACNH,AMAZON,2022-12-08
POUR TOUS LES AGES ET SANS AUCUNE VIOLENCE !,10,ACNH,AMAZON,2023-02-02
Je joue a ce jeux depuis petite et toujours autant fan ! En plus la livraison était rapide et soigné,10,ACNH,AMAZON,2023-01-23
