Content,Stars,titre,origine,jour,mois,année,Pays
"Offert à mes enfnats de 10 et 8 anstout à fait adaptéjolis graphismesfacilité de jeu, aniabilitéRavira les fanslivraison impeccable",5,POKEMON,AMAZON,10,11,2020,France
A cause du covid j’ai reçu mon colis en retard. Mais colis correct.,4,POKEMON,AMAZON,12,8,2020,France
produit conformevendeur sérieuxlivraison rapide,5,POKEMON,AMAZON,17,11,2020,France
Produit qui correspond à nos attentes. Délai de livraison respecté.,5,POKEMON,AMAZON,5,1,2020,France
Bon produit,5,POKEMON,AMAZON,19,3,2020,France
Je déconseille très fortement. Le jeu n'etait pas dans l'etui.. quelle déception lorsque mon fils à ouvert la boîte..UNE HONTEDemande un remboursement immédiat ou bien un retournement du même jeuMerci de vous occuper de mon dossier,1,POKEMON,AMAZON,15,11,2020,France
Excelente,5,POKEMON,AMAZON,28,1,2023,Mexique
Llegó en buen estado y a tiempo. 👍🏻,5,POKEMON,AMAZON,14,1,2023,Mexique
"I love it, need to play the new ones now though",5,POKEMON,AMAZON,21,2,2023,Royaume-Uni
"Been out of the Pokémon game since Crystal so there was much to readjust, and I can't compare it to the previous ones in my knowledge gap hiatus. However, I found this game enjoyable and fun in places, though it seems a bit short and unpolished.Difficulty-wise, it is rather easier, given the other Pokémon in your party gain experience points, even by not battling (unlike the old ones were they have to face the opponent at least once during a battle and the subsequent switching trick). This invariably speeds things up and avoids the long drawn out traditional process which can get tiring after a while. Of course, some might prefer the old style, and some suggest there should have been a function to switch that group experience gain off, which I feel there should be to give people a bit more extra challenge and impetus to spend more time in the field training their Pokémon. The trainers and gym leaders and rivals along the way aren't particularly challenging if you train up a good team well; in fact you could easily be over 10 lvls above their own Pokémon with not much extra training in the field. They don't seem to have any big teams at all until you're at the end of the main story, so even if you've got a weak team in terms of bad matchups, you'll have fewer opponents to face anyway so it doesn't matter if one or two of your team faints, you've got the numbers to beat them either way. From what I've heard, the real challenge is post-main game with the Battle Tower and actual real-life online battles with people from all over the world who would be far more experienced and knowledgeable than the NPC opponents who are, for obvious reason, set at a lower standard and level to ease you (be it beginner or experienced player) into the game. However, from what I've seen and heard, the online battles are not as good as previous incarnations in that they have limited a lot of functions and things that make the battles more enjoyable.It is unfortunate that it does not have the complete national Pokédex, and it is a complaint that many have with this game.The story does convey some mystery of sorts though it seems to be a bit clichéd in places and it feels like an after thought. However, the characters are rather well presented and developed for the most part. They don't just appear once then that's that. In particular, you have several 'rivals' that have different character developments and plot twists. Your main rival or sorts, Hop, is annoying at first but he eventually grows on you and you eventually do feel sorry for his oblivious naivety. The Galar area is obviously based on the UK and it was fun to try and guess where each town/city was based on (Wyndon is obviously based on London, Motostoke probably Birmingham, Circhester on Bath, etc; I do wonder how many people pronounced 'Postwick' as 'pozzick' which would have been the British way to do so (i.e. 'Smethwick' as 'smevvick', 'Warwick' as 'worrick', etc)). But, compared to previous games, it feels a bit smaller, with routes shorter and not many cave and building like areas to explore.Graphics and animation-wise, it is not very polished and there are places where it is glitchy. I'm not too personally fussed but some people might take a big issue with it.Music is one of the things that I liked, especially some of the battle themes.New features are worth mentioning.- The Pokémon camp feature is rather fun. In previous games, they pretty much stay in your Pokéballs and you only interact with them in battle. The camp feature lets you play with them and cook with them. This also brings benefits, such as better battle reactions and evasive likelihoods. It makes Pokémon feel a little more real than just battle machines. The curry dex also gives you another dimension of things to do other than battling and catching. However, you can't pet the Pokémon which is a disappointment.- The Wild Area is also an innovative way to open up the area that are usually restricted to Routes and Caves. You can catch all manner of Pokémon in this area, from very low to very high levels, and the selection changes everyday and with different weather conditions. This makes it a very good way to train your team and also catch high level Pokémon near the end of the main game when you don't fancy training up a low level one from scratch and need one desperately to face off a particular opponent (and using the Move Master at the Centre to tweak the moves of these Pokémon is a good way to get them to learn back old forgotten, but useful, moves). Hwoever, the area is a bit bleak and monotonous. It would have been nice to have different Wild Areas in other locations that can be unlocked later in the game that have more stronger challenging Pokémon.-Dynamaxing: at this point, I don't think this necessarily adds anything to the franchise. It does feel like a novelty more than anything, something to make battles a little bit more exciting/challenging. The jury's not out yet for this feature.Overall, I do like this game for the potential and initial fun though it feels like a incomplete game, maybe even rushed. It remains to be seen what the DLCs would be like and whether they patch up some of the problems, though the DLCs are very expensive for what they are and I'm not sure if they would save the whole game from average.Is it worth it? You might want to wait and not pay full whack for it. But as a quick game for a beginner it might suit your needs.",3,POKEMON,AMAZON,25,5,2020,Royaume-Uni
