Content,Stars,titre,origine,jour,mois,année,Pays
"Jeu génial, on passe un bon moment et on essaie d avoir tout les personnages",5,SUPER SMASH BROS,AMAZON,17,1,2023,France
"Excellent jeu ! Je passe de super moments avec, que ce doit en local avec ma famille et mes amis, ou en ligne en mode « compétition » !Le jeu fonctionne parfaitement, il est en français, et je l’ai reçu en boîte, complet et sous blister.Le boîtier était en parfait état et le jeu était bien à l’intérieur 😉Je recommande vivement cet article, rien à redire !Aucune raison d’avoir peur pour les commentaires négatifs qui disent que le jeu n’est pas présent dans la boîte ou que la boîte est cassée ou non sous blister, car le jeu est comme neuf, sous blister et bien présent dans la boîte qui est en parfait état 😉",5,SUPER SMASH BROS,AMAZON,16,10,2019,France
TOP TOP livraison très rapide,5,SUPER SMASH BROS,AMAZON,26,5,2022,France
De bons moments de jeux passés en famille.,5,SUPER SMASH BROS,AMAZON,7,4,2022,France
"Rien qu'avec les premières informations sur le jeu, je n'y ai vu qu'un misérable patch note de Smash 4 et le peu d'excitation que l'e3 2018 me procurait s'est vite tourné vers Kingdom Hearts 3...J'ai quand même acheté Super Smash Bros. Deluxe (je refuse de l'appeler Ultimate) en toute connaissance de cause et je n'ai pas été déçu.Il sagit bien d'un portage déguisé vers Switch traduisant la fainéantise de Nintendo et son inssuportable collectionite aiguë qui les caractérise actuellement avec le mode Esprits qui ma lassé rien qu'en regardant le Nintendo Direct (pour dire la catastrophe je n'y ai pas joué...)Si je donne 2 étoiles et non 1 c'est parce que de vieux niveaux ont été refaits en HD (au détriment de nouveaux qui hors DLC sont au nombre pléthorique de 4) ce qui a permis a ma soeur réfractaire aux vieix graphismes de Mêlée de les découvrir sous leur plus beau jour.ULTIME  bémol et non des moindres: l'annonce des DLC (qui faut avouer sont incroyablement surprenants contrairement au reste du jeu) avant même la sortie du jeu, preuve ULTIME que ce jeu n'est pas fini et que Nintendo confond communauté de joueurs avec vaches a lait a qui on peut tout faire acheter (même si vu les notes de ouf sur les sites de critique on peut légitimement ne pas faire la différence entre les deux).En conclusion: a acheter au plus bas prix (51€ c'est raisonnable mais encore trop cher) avec le moins d'attente possible si ce n'est un jeu sympa sur le canapé.",2,SUPER SMASH BROS,AMAZON,29,1,2019,France
"sans doute l'un des meilleurs jeux auquel j'ai joué, cependant, il faut du temps avant de ce faire vraiment à tous les mécanismes du jeu, mais une fois assimilé, je jeu deviens d'autant plus impressionnant. attention aux prochains acheteurs qui souhaites utiliser le mode online du jeu, le jeu n'est pas stable du tout, vous avez beaucoup de chance de tomber sur une partie ou les lag vous empêches de jouer correctement, que vous aillez une bonne ou une mauvaise connexion, le résultat sera le même.",4,SUPER SMASH BROS,AMAZON,15,3,2019,France
"je ne pense pas faire office d'extra terrestre si je dis que smash est un bon jeu. c'est un défouloir pour toi et tes 3 potes.ca tape de partout, ca ejecte du terrain, ca tente de revenir... bref, c'est un grand fourre tout où vous allez vous éclater à 4 (pas de mauvais jeu de mot)perso, je ne suis pas super fan de ce genre de concept, mais j'aime mes potes et on aime se mettre sur la tronche :)",4,SUPER SMASH BROS,AMAZON,6,2,2019,France
"Bien que la boîte soit en anglais le jeu fonctionne. Il m'a tout de même été nécessaire de sortir et insérer à nouveau la cartouche plusieurs fois suite à des plantages du jeu. Comme je n'ai pour le moment que cette cartouche, je ne sais pas si elle est en cause ou si c'est le lecteur de la console (neuve). Le jeu en lui-même est très fun.",4,SUPER SMASH BROS,AMAZON,27,12,2018,France
"Commande reçue avec 1 jour d'avance, bon la boîte est en anglais (ce qui n'est pas grave en soi). Pour ceux qui se poseraient la question, le jeu reste malgré tout en français ! La Nintendo Switch n'étant pas zonée comme les consoles précédentes.. Quant au jeu en lui-même, je suis sous le charme des musiques et graphismes alors que j'ai à peine eu le temps de le démarrer. Il est victime de son succès !",5,SUPER SMASH BROS,AMAZON,4,1,2019,France
"Ce jeu se passe de commentaire je dois dire. Je l’attendais avec impatience alors je suis conquise. Si vous avez envie de passer une soirée entre amis à faire des combats tout en vous amusant, ce jeu est idéal ! Il y a énormément de personnages à débloquer, une multitude de terrains de combats. Une chose est sûr, vous ne vous ennuierez pas !",5,SUPER SMASH BROS,AMAZON,19,2,2019,France
"Rien a dire, toujours autant l'éclate de jouer a ce jeu !",5,SUPER SMASH BROS,AMAZON,20,6,2021,France
Très bon jeu,4,SUPER SMASH BROS,AMAZON,22,12,2020,France
"bien recu, neuf, tres bon jeuseul probleme avec la commande, il a ete expedié depuis une ville voisine pour faire le tour de france pour enfin revenir au point de depart... mais bon il est arrivé à la date prevu",4,SUPER SMASH BROS,AMAZON,29,1,2019,France
"Après une 1ere tentative de livraison échouée, la 2ème fut soignée et livrée à temps . En prime, bon jeu !",4,SUPER SMASH BROS,AMAZON,13,1,2020,France
"Ce jeu est une bombe. Rien que le mode aventure occupe déjà bien 45 heures pour celui qui débute au jeu (et moi je débute à la série), juste pour finir l'histoire. On est encore loin de maximiser tout. Après, il y a tellement de modes de jeux que je ne peux que qualifier ceci d'excellent.",5,SUPER SMASH BROS,AMAZON,18,1,2019,France
Quand il y en a plus en magasin et que son fils l'attend et bien on le commande sur Amazon est on ets pas déçu,5,SUPER SMASH BROS,AMAZON,11,9,2020,France
Bon jeu a partir de 5ans,4,SUPER SMASH BROS,AMAZON,10,8,2020,France
"Produit reçu neuf et 5 jours en avance, parfait !",5,SUPER SMASH BROS,AMAZON,5,4,2021,France
"Jeu exceptionnel!  Excellente réalisation, bande originale la plus complète  de l'histoire des jeux vidéos avec plus de 800 musiques! Le mode histoire est très complet et offre une très bonne durée de vie! Le seul bémol n'est pas lié au jeu mais à la console qui a un WiFi peu efficace.",5,SUPER SMASH BROS,AMAZON,28,12,2018,France
"Très bon smash! Même si on regrettera l’absence d’un mode aventure digne de Brawl, difficile de faire la fine bouche devant le roster proposé.Le mode Classique a été revisité pour être adapté à chaque personnage.Le mode Aventure est un poil décevant car il ne consiste qu’à une succession de combats",5,SUPER SMASH BROS,AMAZON,4,1,2019,France
Produit neuf arrivé dans les delais. Ce jeu est vraiment marrant. Sympa à 2 joueurs ou +.,5,SUPER SMASH BROS,AMAZON,7,9,2020,France
Bon jeux juste le mode histoire qui est pas terrible,4,SUPER SMASH BROS,AMAZON,31,12,2019,France
"Une étoile en moins à cause du Online, foireux sinon une bête de jeu de combat.",4,SUPER SMASH BROS,AMAZON,11,7,2019,France
"Qualité du jeu : incroyableRapidité de l'envoie : assez efficace compte tenu de ces périodes de fêtes chargées pour les transporteursCependant : Les boites de jeux de Switch ne sont pas les plus résistantes, et la mienne n'a pas survécu indemne, toute une moitié s'est dispersée à peine le blister plastique retiré, j'ose au moins espérer que la cartouche du jeu en lui même n'a pas été endommagé..",3,SUPER SMASH BROS,AMAZON,27,12,2018,France
Top,5,SUPER SMASH BROS,AMAZON,25,5,2021,France
Jeu franchement très bof.,3,SUPER SMASH BROS,AMAZON,9,2,2021,France
