author,date,review,score,titre,origine
HowTo,07-05-2021,"Don't trust the critics, they are false. I've seen critics with lower ratings than a 70. Overall, the game is disappointing and lacking. False advertising, updates are lackluster, and the game is unplayable. It's buggy as well. Some sprites wouldn't load until 30 seconds later. 0/10.",0,ACNH,METACRITIC
Kefero,07-05-2021,"The game is visually alright. However, it is quite horrible compared to other Animal Crossing games. Not only this, but the fact that it is marketed as relaxing throws me off. Animal Crossing is supposed to be fun, not relaxing. A very terrible title, and have got my refund two weeks ago.",0,ACNH,METACRITIC
sunnyh,22-03-2020,"I'm cool with the one island per console limitation, but its insane that progress in the game is restricted to what player one does. I recently started an island with my wife. What if my wife quits playing the game? Will I have to start over? Crazy.",4,ACNH,METACRITIC
KC1994,21-03-2020,"It’s a fun game, very reminiscent of the old Animal Crossing games. HOWEVER, the inability for users of the same switch to have different islands isn’t cool. In fact, only the first player on the switch can complete assignments from Tom Nook and other characters. Not even a second copy of the game will rectify this. The only way to rectify it is to buy another switch. Nintendo is being VERY GREEDY in limiting the game play like this. And for that reason, I give this game a 4.",4,ACNH,METACRITIC
timobeerke,23-03-2020,"To actually review this game I think you'll need two scores. The first score being the game when you are Citizen Representative (you booted up the game first) and the second score when you are an additional player.

I was unlucky enough to boot the game second and am not a Citizen Representative and to be honest I stopped playing the game after two days. You always have a feeling you have an inferior game where you are nothing more than a character on someone's island. You don't get to name the island, you don't get to build the structures on the island and you don't get to contribute to most of the ""story"" which Animal Crossing has to offer.

My brother who is the Citizen Representative enjoys the game and it is really polished and has a nice gameplay loop, but I feel ripped off. To me, this game deserves nothing more than a 1 out of 10, because I really cannot live with the fact that my game is limited. If you pay €60 for a game, you want to fully enjoy it. Now I just can't because of these restrictions.",1,ACNH,METACRITIC
NathanDetr0it,24-03-2020,"""One Dictator, Seven Slaves"" same-console multiplayer is a huge disappointment. We bought this game to *share* it- one island, one screen, shared decisions and contribution,",4,ACNH,METACRITIC
mds27272,20-03-2020,"My gf started playing before me. No option to create my own island and guys, being the 2nd player to start on a console SUCKS!!!! You miss out on so much that only the 1st player gets in terms of activities, resources, etc. It's absolutely terrible. You have to buy a 2nd console if more than one person in your household wants to get the full game experience. That's unacceptable.",4,ACNH,METACRITIC
Bluenugget,25-03-2020,Only the first player created in the game can actually contribute to the development of the island and do the important stuff. The other players on the island can’t contribute and can only really gather resources. This limits every other player than the 1st one and really blows. I hope Nintendo fixes this.,2,ACNH,METACRITIC
lolo2178,20-03-2020,"While the game itself is great, really relaxing and gorgeous, i can't ignore one thing that ruins the whole experience for me and a lot of other people as seen by the different user reviews.

That thing is that you only have 1 island per console. This decision limits to one person being able to enjoy the full experience. It also nukes any creative control of the island, since you have the other users
house and furniture. I hope nintendo can soon fix this big issue, because for now, this killed any intentions i had to play the game.",5,ACNH,METACRITIC
Stomtz,28-03-2020,"Bought the game for my Girlfriend and me. The system that you can only have one island is absolutely **** Why Nintendo, why???? Destroyed so much fun for me..",0,ACNH,METACRITIC
Blundell92,23-03-2020,"The one island per console is pretty stupid, but I really enjoy the game. Probably a much bigger issue for those with families or multiple users on the same Switch but for me it's not too much of a problem. Really great way to unwind, the Nook Miles are a little gimmicky but keep the game interesting for now. Kinda wish it wasn't locked to real time but mostly because I'm impatient. I can see myself logging a metric f-ton of time into this game. Good way to calm down after ripping and tearing through Hell in Doom Eternal.",9,ACNH,METACRITIC
Roachant,20-03-2020,"My wife and I were looking forward to playing this game when it released. I bought it, I let her play first she made an island and played for a bit. Then I decided to play only to discover that Nintendo only allows one island per switch! Not only that, the second player cannot build anything on the island and tool building is considerably harder to do. So, if you have more than one person in your home that wants to play the game, you need two switches. Worst decision I have ever seen, this even beats EA.
Congratulations Nintendo, you have officially become the worst video game company this year!",0,ACNH,METACRITIC
c_anthony,24-03-2020,"Animal Crossing: New Horizons is a great solo game that innovates and improves on most facets of the previous entries in the series and advertises that you can play with up to eight players on one island!
On the surface it sounds great, and it can be if you only want to play solo. This is a social game though, meant to be enjoyed by more than one person, and that experience is unfortunately ruined by some unbelievably poor design choices and limitations.
The only player who gets any real meaningful control over the island is the one who begins the game. They get to build villager's houses, place community buildings, etc. All players who come after them are treated like second-rate citizens, are given no control over virtually anything, and have a significantly diminished experience.
Through their failings, Nintendo has ruined what would have been an amazing experience for people to enjoy together. Unless you intend to play this game solo I suggest avoiding it.",1,ACNH,METACRITIC
lordgerben,24-03-2020,"DO NOT BUY THIS GAME IF MULTIPLE PEOPLE ARE PLANNING TO PLAY ON ONE SWITCH.
If you do, there goes $60 down the drain. Only 1 island is allowed to be created per Switch, and if another player on the same Switch wants to play, they'll be a glorified visitor on the island, unable to make any decisions for the island, being restricted to do essentially nothing but build their own home. The game either needs to make the option of making multiple islands or give everyone on an island the option to be in control. My sister made an account first and unless I pay another $300 for a new Switch, I can't play the game. Such a disappointment, would rather have gotten DOOM.",1,ACNH,METACRITIC
Outryder86,20-03-2020,"I was very excited for this new installment of the Animal Crossing series. And I wish I could say that all the new bells and whistles and pretty graphics have made it the best ever. But Nintendo made the worst decision they could have possible made for this game.

You can only have one island per SWITCH. Not per user profile. Not per Cartridge. Per SWITCH.

This game is supposed to be Zen. It's not supposed to be the reason for a spike in domestic homicides. Having to share limited space with multiple family members competing for limited daily resources basically makes this game unplayable if, like a reasonable human, you only have one of these consoles in your family because they already have multiplayer support and you shouldn't need more than one for everyone to enjoy a game.

Nintendo needs to patch this, or else refund every person that isn't a single person household with this game.",0,ACNH,METACRITIC
