author,date,review,score,titre,origine
Kvr,28-04-2017,"This is the best Mario Kart game to date! Superb courses, nice characters and super smooth game play with a stable 60 fps.
Also for time-trial fanatics there is enough to do with a Nintendo ghost to beat in every level and courses that let ypu master them in every detail, This is a no-brain er for every Nintendo Switch owner.",10,MARIO KART 8 deluxe,METACRITIC
DBPirate1129,24-12-2017,"Mario Kart 8 Deluxe is what one would expect -- a Deluxe version of Mario Kart 8, which was already fantastic on the Wii U.

Deluxe adds several new characters, which are all welcome additions (Bowser Jr., Dry Bones, and King Boo were missing in the original for some reason so it's nice to see them back) as well as an improved Battle Mode. Personally, I've never been a huge Battle Mode player in Mario Kart but this version was definitely fun. It's not something I'm always going to be aching to go back to though. The online is great as usual. The graphics and frame rate are also a huge plus. Nintendo should be applauded for always striving to get a solid 60fps on their games.

If you haven't played Mario Kart 8 before, this is a must-buy. If you have, then I'm tempted to recommend it again just for the sake of being able to take this amazing game on the go.",9,MARIO KART 8 deluxe,METACRITIC
Gust800,19-06-2021,"Best of the best !!!! Like always is the bast kart racing game . Great graphics , gameplay and sound .",10,MARIO KART 8 deluxe,METACRITIC
NickSlyCooper,12-07-2018,"I don't play it too often right now, but I must say it was really fun and I was playing this all week and survived on this one game for about almost a year without another game.",9,MARIO KART 8 deluxe,METACRITIC
mrcnx,05-05-2018,Superb most content packt and best mk game to date! The battle mode is a great addition and the new characters are very refreshing. But they could of done a little bit more...,9,MARIO KART 8 deluxe,METACRITIC
Jezuzo,19-05-2018,"Es un gran juego exclusivo de Switch, aunque a veces se me hace un poco repetitivo. También pienso que debería tener más modos de juegos, para así quitar la monotonía que son las carreras. Por lo demás, tiene gran variedad de items, gran variedad de mapas, juego online muy divertido, buen sistema de puntos por victoria etc.",8,MARIO KART 8 deluxe,METACRITIC
NepodarOK,04-10-2021,"Too much randomness, and when playing with bots, everything is built. game very overpriced for its simplicity and primitiveness",9,MARIO KART 8 deluxe,METACRITIC
TrueMonkee,25-11-2018,"This is not just the best mario kart game, but also the best kart and even racing game to date. I had a lot of fun with the Wii U version, and the Switch version is even better, with all DLC unlocked and better graphics.",10,MARIO KART 8 deluxe,METACRITIC
LuissDt,01-04-2022,Maybe at the time it didn't bring something new but Mario Kart 8 Deluxe continues with a fun and chaotic mechanics... just what a Mario Kart should bring,9,MARIO KART 8 deluxe,METACRITIC
Honestx,22-02-2022,"I will keep this review short I PROMISE!

This is the game that I always come back to when I am bored or the game that I always play when visitors come over or when I want to re-live some moments with my family on the couch. the Mario Kart series have always being that one game everyone has and loves to play. Such great memories I have of this game and past games. Don't even get me started on the ability to play a proper Mario Kart game on the go or even play co-op on the go by flipping the joy-cons on their side. 10/10 legendary game series. great fun at home or on the go!",10,MARIO KART 8 deluxe,METACRITIC
llyrowenjones,28-04-2017,"Brilliant and fun game. So vibrant and all races are chaotic and intense. A must buy for the Switch. Online is great and stable, 60fps on handheld and docked.",10,MARIO KART 8 deluxe,METACRITIC
SuperMatt777,28-04-2017,"A lot of my positive feedback for this game is carried over from the original Mario Kart 8: a slew of amazing tracks, both old and new, superb gameplay, great dlc and loads of multiplayer fun. Mario Kart 8 Deluxe adds a bit more to the table, being 5 new characters, 3 returning favorites and the Inklings from Splatoon, some new kart parts and, of course, the revamped battle mode, which is a great addition to the multiplayer madness Mario Kart is known for. However, despite the praise I give these additions, I can still see flaws. While Mario Kart 8 Deluxe fixed a few problems (mainly the double item holding that was absent in the original), it still holds a few problems that Mario Kart 8 had. The lack of invincibility frames when getting hit by an item can come off as incredibly annoying and opens up item spam from both players and CPUs. This is an incredibly frustrating thing, especially for someone who likes to relax with the game. And, despite the amazing additions, I still believe these were things that should've been in Mario Kart 8 to begin with and really didn't need an 80 dollar port to achieve them. Regardless, Mario Kart 8 Deluxe is the definitive version of Mario Kart 8 to own. If you never had the original, then this is a must have for the switch, including everything you would've had and more. If you already had the Wii U version, you may feel a slight hint of being ripped off, but if you're also a dedicated fan, then it's something you can likely overlook, especially for something that's fun to play with a group of people.",10,MARIO KART 8 deluxe,METACRITIC
kamhagh,24-07-2018,"This game is very okay, It's just mario kart... with better graphic, for 60$ it has WAY too little content, It gets boring after 6h because you just do the same, you race, that's all, there's a battle mode but I don't like it at all personally.

The online mode is very Nintendo. It has long waiting times. and needs a NAT Type B or A

There's just not much to do. you can pretty much play the old ones online on a browser if you want to and it's the same just graphics aren't as good

Pros: Fast loading times means that if you just want a quick race outside (against bots since the NAT Type requirements) it's super easy, I honestly avoid splatoon a lot because of the loading times but that's on a cartridge (slower) too :|

Good graphics at 60fps 1080p afaik when docked

cons:
A huge lack of content, there just isn't much to do

Boring

Bad online multiplayer as expected from Nintendo...

again if you like mario kart go ahead and buy it! But even for someone who is playing it for pretty much the first time it got boring very quickly I don't think I can get a maximum of 20hours of playtime out of this game",5,MARIO KART 8 deluxe,METACRITIC
EpicLadySponge,28-04-2017,"So you know how ports work? They manage to collect information about the original game and modify it to match the modern consoles that we are living in today. Numerous games have done this and some of them may end up tying in its original release, may end up nearly disappointed, or even better... be a complete remake of that original release and manage to be better than its original release. Mario Kart 8 Deluxe falls definitely straight to the latter. If you think Mario Kart 8 wasn't enough, meet Mario Kart 8 Deluxe. Definitely more fun than the original Mario Kart 8 and definitely worth the purchase.",9,MARIO KART 8 deluxe,METACRITIC
HarryHood,29-04-2017,"Didn't own a Wii U, so this is my first time playing full-screen, HD, online MarioKart...All I can say is ""WOW!"". Brings back the feeling of playing with friends (on a 32"" CRT, usually on the ground) back on 64. The game is locked at 60fps and looks absolutely stunning. The art direction is the best I've seen in this series, and the graphics performance and effects are incredible for a console that is basically a tablet with a fan in it! The amount of content is staggering, and there are quite a few unlocks, considering all characters and tracks are available right from the start. This is one of those games that will be on my Switch until the day it dies.

My only complaints are minor and can be fixed with updates: The amount of overall items, for better or worse, is VERY high in online mode. This can lead to some moments where you're not even moving for long stretches of the race, as you're being pummeled with items. My other issue is that you can't group join/party up with your friends. You can kinda work around it by using the ""join"" button, but it doesn't work well it it's current form (especially compared to other high-polish online games like Rocket League and Overwatch etc) and I think they should look to update it if they're going to begin charging for online services this fall.

All-in-all, I give it a 9.5/10, wonderful game with a long future that's easily worth the asking price. The fact that you can take this game with you anywhere is simply proof we're living in the future!",10,MARIO KART 8 deluxe,METACRITIC
TheGeekLantern,08-05-2017,"Una experiencia inigualable. Si te quejas diciendo que este juego es solo un port de la versión de Wii U, hay dos cosas que debes saber:

1- Esta versión mejora cada aspecto del juego además de incluir un Modo Batalla SUBLIME.
2- La sola experiencia de poder disfrutar con amigos en cualquier lugar es algo que no vas a entender hasta que no lo vivas por tu cuenta.

ULTRA RECOMENDADO!!!",10,MARIO KART 8 deluxe,METACRITIC
