author,date,review,score,titre,origine
ThomasinGC,20-11-2021,ILCA le hizo justicia a mi Generación favorita. Adoro los modelos Chibis ya que originalmente el Overworld de Pokémon fue así y los gráficos luminosos son bastantes bonitos.,10,POKEMON,METACRITIC
Kannesun,20-11-2021,"Sopa es sopa Porque sopa no es más una sola si una sola es sopa, que será sopa?",10,POKEMON,METACRITIC
alexoboe,20-11-2021,"Coming from sword and shield, even if it’s not the remake that we dreamt of, it’s by far, as it is conservative, the best Pokémon game on Switch",8,POKEMON,METACRITIC
SherrindFord,21-11-2021,"Llegué con una antorcha para quemarle la casa a IlCA estudios pero no. Este juego es entretenido, viciante. Sin darte cuenta tienes 20 horas jugando. Para ser un remake me gustó mucho, lo recomiendo.",10,POKEMON,METACRITIC
whatsthemeow,20-11-2021,"Good game, I haven't played the original diamond and pearl but I'm finding this one fun.",9,POKEMON,METACRITIC
ShiroAlter,20-11-2021,"Pokémon Brilliant Diamond and it’s sister version Shiny Pearl are a return to form for Pokémon and with a fairly new team (ILCA inc.) at the helm of these remakes it’s a nice revisit to Sinnoh! While lacking in the drastic changes as other remakes in the series these games are faithful recreations to the letter, sometimes going abit too far. With the large and anticipated Pokémon Legends: Arceus looming in the not so distant future these games are a great way for new players to the series to experience the great adventures that were the original Diamond and Pearl, but also a great starting place as well!",8,POKEMON,METACRITIC
Donkristo,21-11-2021,"Отличная игра. Чиби графика совершенно к месту. В бою отличные анимации и визуал. Отличная возможность поиграть в 4 поколение, если до этого не играли.
Минус бал за отсутствие локализации.",9,POKEMON,METACRITIC
dfq,21-11-2021,"I‘m having a blast with this game. It might be mostly nostalgia, but that‘s what I wanted (I believe that‘s what people generally want from a remake). They managed to make it feel almost exactly how I remember the games from my childhood. Graphics-wise it may not look as “advanced“ as Pokémon Sword/Shield but if you don‘t mind the chibi-look, which I actually really like, it looks really good. The male player character looks a little bit strange, but that doesn‘t deserve a 0/10 rating in my opinion.

Referring to other user reviews, why ruin a perfectly fun old game by completely changing it? If you don‘t like playing exactly the same game with updated graphics and a few quality-of-life improvements (that are still true to the originals), then you shouldn‘t buy it. I mean, what do these people expect? That‘s what a remake is, right?

This isn‘t a „lazy remake“. I’ve seen mostly superficial criticism in these user reviews which don‘t justify a 0/10 rating. Also, the games being too easy is always a subjective matter. It has some small issues, sure, but which game doesn‘t?

I honestly found Pokémon Sword/Shield to be really bland and disappointing when they had released and found myself having more fun on my Nintendo DS playing my original copy of Pokémon Platinum. Now that I can replay the fourth Pokémon generation on the large screen in Full HD with some annoying things from the Nintendo DS versions of Pokémon Diamond and Pearl removed and some enhancements added, I‘m having a lot of fun again. In my opinion they delivered precisely what a fan of the old games would have wanted. They even added the Underground which is amazing! You can have so much fun playing these games either alone or with your friends.

I absolutely recommend buying and trying out these remakes!",9,POKEMON,METACRITIC
MrHtheModder,21-11-2021,im quite enjoying BDSP its HD annd 3D diamond and Pearl with added online features and it also adds great quality of life features like EXP share and the map saying where to go which is super handy because i hated getting lost in the originals because it did not tell me where HMs are or where to go and speaking of HMs they also fixed that too they made it so HMs are no longer tied to your Pokemon i also quite like the new shiny sparkles they are super pretty so overall 10/10 its amazing,10,POKEMON,METACRITIC
NotaGamer7,21-11-2021,"I wonder why so many people who love originals hate on the remaster. If it's basically the same content then the only thing you may not like would be it's graphical representation. Judging it makes no sense as the art style is a flavor. Based on one's perception it can not be junged objectively. What can be judged objectively is the quality of content (in game object oriented content) which in my opinion is stunning in this game.
The fact that people don't understand the difference between remake and a remaster is one thing. What drains me is that serious majority of people struggle with judging a thing they don't like as good (and vice versa). Music in this game stands in its own class. Graphical art style gives this game new identity. Quality of life improvements are present for games good. I don't see what is it that mekes this game worse than its predecessor. Judging it as a game: 7,8/10 in my opinion",8,POKEMON,METACRITIC
Soldier_Owl,21-11-2021,I like this LEGO Duplo game.,8,POKEMON,METACRITIC
Potato_Dumpling,21-11-2021,They could have done more and done it in a more refined art style but the music is just perfect and overall a nice remaster although not a real remake.,8,POKEMON,METACRITIC
DistantKingDumb,21-11-2021,"Good game, I generally love all the animations and remade models, and I think it lives up to the original game in every aspect.",10,POKEMON,METACRITIC
Criticerty,21-11-2021,The game overworld is gorgeous and Chibi art style is much better than the first trailer. The game is so much more easier to play and have so many better features than the original games. The only reason I am rating this 8/10 is because the definitively better version Pokémon Platinum has so many of its features removed that it makes the game content feel so much more smaller than it actually is.,8,POKEMON,METACRITIC
ewertoncoutinho,21-11-2021,"The game is a faithful remake of the original game with small features, but with great elegance in its game play. The game is still fun, although some choices made by Game Freak have infuriated fans of the franchise, the game has preserved its features like its beautiful soundtrack and a nice update on the Grand Underground.",10,POKEMON,METACRITIC
Zanah,21-11-2021,If you haven’t played ds version. This is your best choice. (Unless you particularly like the watch function),10,POKEMON,METACRITIC
Swampert_Tube,21-11-2021,"Great remake. It retains the original glitches from the games, replaces Pal park with a park to catch legendaries, nice chibi style, keeps Cynthia hard, and etc. On my 2nd playthrough right now and I **** love the game.",10,POKEMON,METACRITIC
