author,date,review,score,titre,origine
Sensoker,09-12-2018,"Finally a Super Smash Bros game that has a extremely fast gameplay since Melee.
It has a lot of content for both casual and competitive players. FURTHERMORE, it is the most balanced smash game ever.
Online is trash but I am sure they will fix it.

BEST SMASH GAME EVER",10,SUPER SMASH BROS ULTIMATE,METACRITIC
Arma15,07-12-2018,"The best super smash bros. Starting with the story, the adventure game, having to unlock one by one all the players, the new feature of having spirits, it’s the best. The only thing I would change is the same of all the switch games, I don’t understand why they’re not able to use the touch screen, ir would be easier to select players/spirits and I would have given a little more protagonism to spirits, as giving an specific power as summoning a thunderbolt pushing a button every x seconds or something that is more visible, since it feels a little bit abstract the power and how it affects the game, however the game is still perfect.",10,SUPER SMASH BROS ULTIMATE,METACRITIC
felipenavarro92,07-12-2018,"Absolutely perfect! The last Smash Bros that I played was the 64 version, and everything is great on this Ultimate version, lots of characters, stages, soundtracks... graphics are very good, as much as the ultimate blows. I give 10 even without playing the history mode... the game delivers what he promises and much more.

Thanks for this masterpiece, Nintendo!",10,SUPER SMASH BROS ULTIMATE,METACRITIC
Robert95,07-12-2018,"The best smash bros game so far, combines everything for casual and competitive game. Without a doubt this is the best work of Sakurai.",10,SUPER SMASH BROS ULTIMATE,METACRITIC
jte,07-12-2018,"The ultimate super smash bros game. The game play is top notch, and it is loaded with so many things to do. I will easily spend over 100 hours on this game",10,SUPER SMASH BROS ULTIMATE,METACRITIC
johnseer,07-12-2018,"It´s amazing game, is posible to play a lot of time with the aventure mode and the online.",10,SUPER SMASH BROS ULTIMATE,METACRITIC
Thatguy1254,07-12-2018,"My sister, girlfriend, and I have been playing all day and loving it. Only having eight characters at first has been really fun. It's more engaging to unlock the characters just by playing longer.",10,SUPER SMASH BROS ULTIMATE,METACRITIC
zzzchen,07-12-2018,"My first smash bros game and I love it, so much fun. For those who think this game is a port. It's not and never will be one. So just stop fxxk around and try to trash this masterwork.",10,SUPER SMASH BROS ULTIMATE,METACRITIC
robert770,07-12-2018,"N64:Fun game
Melee: More complex and faster game than N64
Brawl: Slower game rythm..bad (Project M was a must have)
Smash 4: Better.. but low content
Ultimate: The Best.

Nintendo has achieved the best Smash Bros ever created, but it seems that they have not been satisfied with just that, they have also created one of the best games in history, wich will talk about it in the following years. I still do not believe it... what beast you have created Nintendo... even scares",10,SUPER SMASH BROS ULTIMATE,METACRITIC
brolysuper,07-12-2018,All these fake 0 scores from people who probably do not have the game or just haters. Coincidence that these accounts have given specific 3 games of Pokemon lets go 0 as well while not reviewing any other games?,10,SUPER SMASH BROS ULTIMATE,METACRITIC
AngryJoeReview,07-12-2018,"Joker from persona 5 was in!, ...................Take that Waluigi Fanboys.",10,SUPER SMASH BROS ULTIMATE,METACRITIC
dr0nzer,07-12-2018,"One of the must have games for the switch, amazing amount of content and a vast diverse array of fighters, modes and trophy/collections! It's everything you'd want for a nintendo beat em up, nothing quite more amusing than watching nintendo franchise characters plummet each other!
I did notice that it can be very overwhelming at the start figuring everything out, bit of a learning curve in finding your feet and once you do it's fantastic.
online play is hit and miss, can be a bit of a lag fest depending on who hosts..",9,SUPER SMASH BROS ULTIMATE,METACRITIC
Pringle31,07-12-2018,Super Smash Bros. Ultimate takes a superb game to new level with so much content that is near to impossible to try all there is included in it.,10,SUPER SMASH BROS ULTIMATE,METACRITIC
PSGamer18,07-12-2018,They just announced Persona 5 in freaking Smash Bros Ultimate. I'm f*cking sold.,10,SUPER SMASH BROS ULTIMATE,METACRITIC
UnionJack0714,07-12-2018,"Smash Ultimate is the heart of all gaming. It not only celebrates Nintendo but gives everyone a chance to shine, from Mario to Simon Belmont from Castlevania to King K Rool the villain of the original DK games. The gameplay after 20 years is at its best. It combines every Smash game in some way, wether that be every character returning, a fine selection of 100 plus stages from all 4 previous games, master class music pieces, a fun and addictive single player adventure mode and many many more hours... days... months worth of content. This game is pure perfection, I would also go as far as saying that this game is unbeatable because you will spend the rest of your life playing, no... experiencing this masterpiece. Sakurai has out done himself. 10/10",10,SUPER SMASH BROS ULTIMATE,METACRITIC
EpicLadySponge,07-12-2018,"At the time of 3DS and Wii U's release, you thought that they would stop making more games for the franchise especially if that hype for said installments was a blast, but of course Nintendo thinks you're wrong since they can obviously do a lot better and bigger than said installments. The result is a game that has so much everything that not even the word everything can be compared to the amount of everything Super Smash Bros. Ultimate has. The best part about that is that they all feel ambitious to the point where it is impossible to determine where to start your journey. Nintendo has not only created the most enthusiastic and magnificent Super Smash Bros. game in history's namesake, but they have also managed to make it one of the greatest video games in whatever timeline you are living. I usually do not ask people to play games or watch movies as if I was forcing them to do it, but when you're talking about one of the biggest games of possibly all time, you know I have no choice and I will not resist such a game that deserves all the praise I can give it. Please look forward into getting this game and playing it especially if you do not have a Nintendo Switch.",10,SUPER SMASH BROS ULTIMATE,METACRITIC
