author,date,review,score,titre,origine
someone98,03-03-2017,"Simply Amazing. Nuff said. This is the best game I've played in this entire generation of hardware. The game is beautiful, combat is fun, the shrines have been delightful- I'm very, very impressed.",10,ZELDA BOTW,METACRITIC
FireFistYamaan,03-03-2017,"I love how this game is so good, that triggerd sony and microsoft fanboys are just giving it a 1 so that the score will drop! Amazing game!

Story is amazing with cutscenes that are epic.
Soundtrack is very good also and will probably grow on everyone.
The mystery of what exactly happend 100 years ago is very tense which makes the story intresting to follow.

Overall fantastic game, Nintendo have outdone themselfs!",10,ZELDA BOTW,METACRITIC
fire_fist,03-03-2017,"Simply breathtaking and stunning. Nintendo have created something special with this game. Whenever I think I've seen it all, it surprises me suddenly with something I didn't see coming. This is definitely a masterpiece that I will continue to play for years to come.",10,ZELDA BOTW,METACRITIC
ocidax,03-03-2017,Este juego es la perfeccion en cuanto a juegos de mundo abierto y una revolucion en cuanto a la saga de The Legend Of Zelda se refiere. Excelente en todos los aspectos.,10,ZELDA BOTW,METACRITIC
johnardo,03-03-2017,"Stunning in every way, While everyone thought that this Zelda would just copy new games and lose its identity, it showed everyone else how its done. What an amazing time to be a gamer",10,ZELDA BOTW,METACRITIC
jardeson,03-03-2017,One of the best gaming experiences of my life. It's hard to describe in words and I can see why some people would feel very salty about not being able to play this game. Masterpiece.,10,ZELDA BOTW,METACRITIC
Geraldst20,03-03-2017,"Nintendo ha demostrado que puede innovar en una era donde todo ya está creado, estos 6 años de espera han merecido toda la pena es un juegazo que todos deberían de disfrutar. Han acertado con el mundo abierto, el ciclo día y noche, el clima, las tribus, historias, doblaje, diseño artístico, banda sonora, jugabilidad, dificultad y la combinación de todo eso ha dado como resultado una obra maestra.",10,ZELDA BOTW,METACRITIC
bimbarabim,03-03-2017,"The fact that there are so many people hating, giving zero instead of an appropriate score, only shows how the excellence of this game is disturbing. The Legend of Zelda: Breath of the Wild is the best game in gaming history so far, already surpassing Ocarina of Time as the highest critically rated game.",10,ZELDA BOTW,METACRITIC
triskyhd,03-03-2017,"In the starting area "" great plateau"" there is endless amounts of things to do and it feels huge! I climbed a mountain to find a shrine and it felt like such a journey. I felt accomplishment something you rarely feel on video games these days.
This has to be without a doubt game of the year, and as my experience with the game continues i feel like it could possibly be the best game ever made.",10,ZELDA BOTW,METACRITIC
Sadikusama,03-03-2017,"Believe the hype. I was skeptical at first, seeing so many 10s and 100s given out to this game. I went blindly into Breath of the Wild knowing nothing about it except for the main trailer of the game. Hours into the game I can only agree: this game is a masterpiece.

There is so much contect, so many things to do, so many places to explore. You are given complete freedom in this adventure, you can even try to beat the game as soon as you start. Freedom and exploration are perhaps the best gameplay aspects, without leaving behind the sheer amount of actions possible: cooking, riding horseback, climbing... Whether you actually beat the story is also up to you, there is so much to invest in this game you might never grow bored of it.

Go play this game. Now. This isn't your typical 10/10 game, it goes beyond that. This game is now videogame history.",10,ZELDA BOTW,METACRITIC
xDeniz,03-03-2017,Down with the fake reviews! I totally own this game and it is awesome!Playing it on the Nintendo Switch is great! I hope Nintendo can launch other great games during Switch Life Time.,10,ZELDA BOTW,METACRITIC
XxGurkeHDxX,03-03-2017,"First of all do not listen to all the 0s. Most of them haven't even played the game and are only bugged because Horizon Dawn has a lower score.
To the game: It's awesome! It's my first Open-World Game and i'm completely stunned.
After an hour in-game you can go wherever you want and whenever you want. And this game is not easy, which is a great thing, considering how easy a lot of games are nowadays,
I know some of the textures aren't the greatest, but I'm not a graphic enthusiast, so it's alright.
There are some frame drops (TV-mode only), but that's nothing that lowered my enjoyment of the game.
I like the new direction Zelda goes, because it's different from the previous games and I can understand when people say they don't like the open-world thing. I also wasn't very happy, when I first heard, that the new Zelda is going to be open-world.
All in all this game is a masterpiece, even though I don't think that this game will be revolutionary like OOT.",8,ZELDA BOTW,METACRITIC
silver_silver,03-03-2017,"Breath of the Wild is potent mix of pure Nintendo magic with a strong dose of modern, open-world sensibilities. The combination is something truly wonderful that deserves your time and hard-earned money. Do yourselves a favour and jump right in - the water is just right.",10,ZELDA BOTW,METACRITIC
PajaritoValdes,03-03-2017,"Its amazing how these fanboys come just to zero vote a game they dont even play, the BoTW user score will remain as a reminder of how much damage Sony has caused with his market strategies",10,ZELDA BOTW,METACRITIC
jjakub,03-03-2017,"This is Nintendo! They've done it again! Captivating adventure, unforgettable experience. Lost for words to fully express the way this game makes a player feel. It is unique and you need to find out for yourself what makes it so. An instant classic, no two ways about it.",10,ZELDA BOTW,METACRITIC
joseloko89,03-03-2017,"Este juego es absolutamente brillante, tiene una jugabliidad de escandalo y auque sus graficos no sean los mejores tiene un apartado artistico increible, Bavo zelda",10,ZELDA BOTW,METACRITIC
NInteNoob,04-03-2017,"So my first day with my switch has been wonderous, exciting and fun filled!

[B]What an amazing console nintendo have produced.. the day started off with the courier knocking my door at 11.10 am with the switch and within the first 15 minutes i had it setup, updated, downloaded and installed FAST RMX.

At only £16.99 and under 900mb it couldnt have been a better deal and used minimal system memory to have a HD RUMBLE multiplayer game that runs at 60fps and 1080p, it looks stunning amd the soundtrack is pretty awesome too.. but.. my Grandad (who hasnt played a game since the playstation 1) beat me! But i was pleased he did as it showed us just how many people can enjoy the SWITCH.
It's a pure gaming experience and fun too!

An hour later and my Zelda collectors edition, the collectors guide and my case and screen protector set had arrived.. and i'm simply blown away. The game is beautiful, subtle and deep, it's one hell of an adventure and it has only just begun.. i wont say any more because it is something that has to be played and on a console system that you have to experience.

I have experienced no Joy Con issue's, no low frame rates, no stuttering or overheating.

I have just taken my first step off of the great plateau and as my adventure lays ahead of me i cant help but think that this time round its also Nintendo's turn to take the leap of faith from off of a great plateu and into the Breath Of The Wild,.

Bravo Nintendo, Bravo",10,ZELDA BOTW,METACRITIC
leonardo2360,17-09-2017,este juego es el mejor zelda que e jugado jamas pense que un zelda superaria a twilight princess que para mi era el mejor zelda jugar este juego es como si estuvieses dentro de el es una maravilla todos sus apartados.,10,ZELDA BOTW,METACRITIC
The_Legend,03-03-2017,Great presentation. Excellent game mechanics and a vast World to explore. Every space in the world was hand designed to create an experience unlike any other game. Visually impressive. It simply is the greatest game I've ever played.,10,ZELDA BOTW,METACRITIC
altalo,03-03-2017,"Libertad es la palabara para describirlo, puedes hacer misiones y mazmorras o ir a por el jefe final directamente. El juego te da la oportunidad de hacer lo que quieras y es algo jamas visto, marca un antes y un despues. Jugablemente es preciso y precioso. Gracias Nintendo por estos juegos.",10,ZELDA BOTW,METACRITIC
chandori,03-03-2017,"Nintendo has done it again, the king of games is back!! The game is beautiful looking with its art style and plus its game play and story, you are going to have a awesome experience. I can't wait to see what they will do with the next Zelda title and where they take the games direction this time.",10,ZELDA BOTW,METACRITIC
Xalusc,03-03-2017,"""Revolutionary"" isn't enough of a word to describe how amazing this game is.

If you're reading this, never mind the haters who gave this negative reviews on purpose to lower the overall score - most haven't even played the game at all.

Play it. It's an absolute must have.",10,ZELDA BOTW,METACRITIC
EpicLadySponge,03-03-2017,"Breath of the Wild broke a lot of records in the history of gaming. By that, I mean it is most likely impossible to find one thing wrong with this game. It's like Nintendo took the base of Ocarina of Time and modernize it to make it look like this game over here. This is why Nintendo will forever remain in my heart no matter where it all goes. I'm telling you this, Breath of the Wild has everything... yes, every... single... thing that made Ocarina of Time look like a masterpiece. This is the lost brother of Ocarina of Time and the true brother Ocarina of Time will ever need. Just go buy this game, it wants your money so bad, it wants you to play it so bad, it wants to be your local friend literally bad. I'll be waiting until you get this game.",10,ZELDA BOTW,METACRITIC
zorakex,03-03-2017,"Great game!

Amazing sound track. Fun gameplay and Mechanics. Nice graphics and art style. So far the story has been good.

If you like Zelda and/or open world games you need to get BOTW.",10,ZELDA BOTW,METACRITIC
VideoGameDude,03-03-2017,"The game is absolutely incredible! I don't think another game has lived up to the hype like Breath of the Wild has done. Nearly flawless in every way. Game of the Year, Game of the Decade, and possibly Game of the Century!",10,ZELDA BOTW,METACRITIC
Koppai15,03-03-2017,"Stunning in every way, While everyone thought that this Zelda would just copy new games and lose its identity, it showed everyone else how its done. What an amazing time to be a gamer",10,ZELDA BOTW,METACRITIC
grungyssj,03-03-2017,"This game is the most beautiful game I've ever had the pleasure of playing. The game is huge, and yet dense with so much to do in this large, open-world. People wanting a more traditional Zelda title won't get what they desire with this title, but that's not a bad thing. Breath of the Wild is a breakaway from the series that breathes new life into the series just like Ocarina of Time did back in its day. This game is essential for anyone and everyone to own and play. Why are you reading this review??? Go out and buy this game now!",10,ZELDA BOTW,METACRITIC
gintoki125,04-03-2017,This game is amazing. It's beautiful and It's so fun I just could not put it down. I love going around and exploring and doing the side quests. The gameplay changed things up from previous Zelda games and its great. The music is fantastic. It's just a great game. I love it.,10,ZELDA BOTW,METACRITIC
