Game,Year,Month,Sales,Diff,Reply_SUM,Reply_MEAN,Reply_MAX,Reply_MIN,Like_SUM,Like_MEAN,Like_MAX,Like_MIN,Retweet_SUM,Retweet_MEAN,Retweet_MAX,Retweet_MIN,User Followers count_MEAN,User Followers count_MAX,User Followers count_MIN,User Followers count_SUM,User Following count_MEAN,User Following count_MAX,User Following count_MIN,User Following count_SUM,Sentiment_TEXTBLOB_MEAN,Sentiment_VADER_MEAN,Sentiment_NLTK_MEAN,meanAMZ,countAMZ,meanMTC,countMTC
ACNH,2019,6,,,3134.0,19.71069182389937,222.0,0.0,193304.0,1215.748427672956,25999.0,57.0,51867.0,326.20754716981133,9150.0,4.0,538324.4213836478,9641230.0,44.0,85593583.0,1345.8867924528302,106120.0,0.0,213996.0,0.7861635220125787,0.1390943396226415,0.1378100628930817,,,,
ACNH,2019,7,,,118.0,13.11111111111111,29.0,4.0,2586.0,287.3333333333333,1341.0,55.0,456.0,50.66666666666666,189.0,0.0,63778.88888888889,307058.0,1818.0,574010.0,2569.555555555556,15372.0,55.0,23126.0,0.7777777777777778,0.4161888888888889,0.3673333333333333,,,,
ACNH,2019,8,,,73.0,8.11111111111111,29.0,2.0,2652.0,294.6666666666667,848.0,86.0,424.0,47.11111111111112,141.0,14.0,141252.55555555556,506998.0,60.0,1271273.0,1400.7777777777778,7729.0,5.0,12607.0,0.1111111111111111,0.2122111111111111,0.2122111111111111,,,,
ACNH,2019,9,,,571.0,10.773584905660377,115.0,0.0,46792.0,882.8679245283018,14537.0,67.0,14525.0,274.0566037735849,5134.0,2.0,209031.50943396223,1826428.0,560.0,11078670.0,469.3018867924528,2198.0,0.0,24873.0,0.8490566037735849,0.2119018867924528,0.2119018867924528,,,,
ACNH,2019,10,,,281.0,8.028571428571428,30.0,0.0,7893.0,225.5142857142857,953.0,70.0,1739.0,49.68571428571428,441.0,1.0,361742.0,9641235.0,61.0,12660970.0,687.7142857142857,2079.0,0.0,24070.0,0.8285714285714286,0.2099257142857143,0.2099257142857143,,,,
ACNH,2019,11,,,174.0,6.214285714285714,36.0,0.0,6576.0,234.8571428571429,1840.0,67.0,1599.0,57.10714285714285,680.0,3.0,83153.10714285714,506999.0,329.0,2328287.0,472.2142857142857,1523.0,0.0,13222.0,0.75,0.2032857142857143,0.2014892857142857,,,,
ACNH,2019,12,,,2602.0,23.654545454545456,928.0,0.0,198344.0,1803.1272727272728,68851.0,60.0,52843.0,480.3909090909091,20916.0,2.0,349502.84545454546,9641237.0,145.0,38445313.0,735.6909090909091,9970.0,0.0,80926.0,0.8181818181818182,0.2231772727272727,0.2231772727272727,,,,
ACNH,2020,1,,,18373.0,46.27959697732997,4376.0,0.0,407439.0,1026.294710327456,77913.0,44.0,198349.0,499.61964735516375,102024.0,0.0,231162.838790932,7193752.0,12.0,91771647.0,578.2191435768262,15372.0,0.0,229553.0,0.871536523929471,0.2447836272040302,0.2447836272040302,9.0,26.0,3.0,99.0
ACNH,2020,2,,,44410.0,48.32426550598477,5728.0,0.0,992681.0,1080.1751904243745,44101.0,52.0,216518.0,235.6017410228509,14825.0,0.0,350482.2372143634,12661375.0,36.0,322093176.0,577.9455930359086,15372.0,0.0,531132.0,0.8389553862894451,0.2601016322089227,0.2575751904243743,9.0,36.0,4.0,71.0
ACNH,2020,3,11.77,11.77,143369.0,121.6022052586938,22655.0,0.0,1500013.0,1272.275657336726,41605.0,46.0,437784.0,371.3180661577608,53937.0,0.0,456378.9024597116,11903941.0,7.0,538070726.0,1027.603901611535,106120.0,0.0,1211545.0,0.7675996607294318,0.2670483460559796,0.2661273112807464,10.0,164.0,4.0,2026.0
